$0 &0
$0 &0 1
$1 &1 1
$2 $2 0
$3 $3 0
$4 $4 0
$5 $5 0
$6 $6 0
$7 $7 0
$8 $8 0
$9 $9 0
$10 $10 0
$11 $11 0
$12 &12 0
$13 $13 0
$14 $14 0
$15 $15 0
$16 $16 0
$17 $17 0
$18 $18 0
$19 $19 0
$20 $20 0
$21 $21 0
$22 $22 0
$23 $23 0
$24 $24 0
$25 $25 0
$26 $26 1
$27 $27 1
$28 $28 1
$29 $29 1
$30 $30 1
$31 $31 1
$zero $0 1
$at $1 1
$v0 $2 0
$v1 $3 0
$a0 $4 0
$a1 $5 0
$a2 $6 0
$a3 $7 0
$t0 $8 0
$t1 $9 0
$t2 $10 0
$t3 $11 0
$t4 $12 0
$t5 $13 0
$t6 $14 0
$t7 $15 0
$s0 $16 0
$s1 $17 0
$s2 $18 0
$s3 $19 0
$s4 $20 0
$s5 $21 0
$s6 $22 0
$s7 $23 0
$t8 $24 0
$t9 $25 0
$k0 $26 1
$k1 $27 1
$gp $28 1
$sp $29 1
$fp $30 1
$ra $31 1	
