Ligne : 1	 Directive	 .text

Ligne : 1	 Retour à la ligne	  

Ligne : 2	 Instruction	 LW

Ligne : 2	 Registre	 $8

Ligne : 2	 Délimiteur	 ,

Ligne : 2	 Valeur Décimale	 256

Ligne : 2	 Délimiteur	 (

Ligne : 2	 Registre	 $8

Ligne : 2	 Délimiteur	 )

Ligne : 2	 Retour à la ligne	  

Ligne : 3	 Instruction	 LW

Ligne : 3	 Registre	 $8

Ligne : 3	 Délimiteur	 ,

Ligne : 3	 Délimiteur	 +

Ligne : 3	 Valeur Décimale	 256

Ligne : 3	 Délimiteur	 (

Ligne : 3	 Registre	 $8

Ligne : 3	 Délimiteur	 )

Ligne : 3	 Retour à la ligne	  

Ligne : 4	 Instruction	 LW

Ligne : 4	 Registre	 $8

Ligne : 4	 Délimiteur	 ,

Ligne : 4	 Délimiteur	 -

Ligne : 4	 Valeur Décimale	 256

Ligne : 4	 Délimiteur	 (

Ligne : 4	 Registre	 $8

Ligne : 4	 Délimiteur	 )

Ligne : 4	 Retour à la ligne	  

Ligne : 5	 Instruction	 LW

Ligne : 5	 Registre	 $8

Ligne : 5	 Délimiteur	 ,

Ligne : 5	 Délimiteur	 +

Ligne : 5	 Valeur Décimale	 256

Ligne : 5	 Délimiteur	 (

Ligne : 5	 Registre	 $8

Ligne : 5	 Délimiteur	 (

Ligne : 5	 Retour à la ligne	  

