Ligne : 2	 Type Registre attendu 	 Valeur Décimale

Ligne : 3	 Nombre entre 0 et 31 attendu	 45

Ligne : 4	 Nombre sur 16 bit signé attendu	 190000000000

Ligne : 5	 Nombre sur 18 bit signé attendu et divisible par 4	 1234567876543

Ligne : 6	 Nombre sur 18 bit signé attendu et divisible par 4	 3

Ligne : 7	 Type Registre attendu 	 Valeur Décimale

Ligne : 7	 Nombre sur 18 bit signé attendu et divisible par 4	 12456788976543

Ligne : 8	 Nombre sur 18 bit signé attendu et divisible par 4	 3

Ligne : 10	 Type Registre attendu 	 Valeur Décimale

Ligne : 10	 Type Registre attendu 	 Baseoffset

